base_time_seconds, increment, event_type, game_time_class, game_type, rank, rating, score, url, user, year
300,2,arena,blitz,chess960,1,1959,23,"https://www.chess.com/tournament/live/arena/-960-3823083",PaulBjork,2024
600,0,arena,standard,chess,8,2257,14,"https://www.chess.com/tournament/live/arena/---2011-3810529",PaulBjork,2024
180,2,arena,blitz,chess,1,2204,37,"https://www.chess.com/tournament/live/arena/---3110-3767651",PaulBjork,2024
300,2,arena,blitz,chess960,2,1651,18,"https://www.chess.com/tournament/live/arena/-960-3823083",elenovo,2024
180,2,arena,blitz,chess,8,1983,5,"https://www.chess.com/tournament/live/arena/-2111-3812089",elenovo,2024
600,0,arena,standard,chess,2,2091,31,"https://www.chess.com/tournament/live/arena/---2011-3810529",elenovo,2024
120,1,arena,lightning,chess,3,1666,13,"https://www.chess.com/tournament/live/arena/--1911-3809763",elenovo,2024
180,2,arena,blitz,chess,2,1983,23,"https://www.chess.com/tournament/live/arena/---1411-3793821",elenovo,2024
600,0,arena,standard,chess,1,2091,22,"https://www.chess.com/tournament/live/arena/---1311-3792569",elenovo,2024
120,1,arena,lightning,chess,3,1666,16,"https://www.chess.com/tournament/live/arena/---1211-3791277",elenovo,2024
300,2,arena,blitz,chess960,1,1651,18,"https://www.chess.com/tournament/live/arena/-960-3786767",elenovo,2024
120,1,arena,lightning,chess,4,1666,28,"https://www.chess.com/tournament/live/arena/---0511-3783529",elenovo,2024
300,0,arena,blitz,chess,3,1983,11,"https://www.chess.com/tournament/live/arena/---0411-3782447",elenovo,2024
180,2,arena,blitz,chess,2,1983,33,"https://www.chess.com/tournament/live/arena/---3110-3767651",elenovo,2024
120,1,arena,lightning,chess,2,1666,43,"https://www.chess.com/tournament/live/arena/---2910-3765317",elenovo,2024
300,2,arena,blitz,chess960,5,1651,9,"https://www.chess.com/tournament/live/arena/960--3760799",elenovo,2024
180,2,arena,blitz,chess,1,1983,40,"https://www.chess.com/tournament/live/arena/---2410-3759881",elenovo,2024
300,0,arena,blitz,chess,2,1983,26,"https://www.chess.com/tournament/live/arena/---2110-3756513",elenovo,2024
180,2,arena,blitz,chess,2,1983,16,"https://www.chess.com/tournament/live/arena/---1710-3741841",elenovo,2024
600,0,swiss,standard,chess,1,2091,2,"https://www.chess.com/tournament/live/rapid-100-swiss-5125781",elenovo,2024
120,1,arena,lightning,chess,6,1666,8,"https://www.chess.com/tournament/live/arena/---1510-3739401",elenovo,2024
180,2,arena,blitz,chess,1,1983,30,"https://www.chess.com/tournament/live/arena/blitz-32-3734481",elenovo,2024
120,1,arena,lightning,chess,13,1666,0,"https://www.chess.com/tournament/live/arena/---0810-3721133",elenovo,2024
180,2,arena,blitz,chess960,1,1651,24,"https://www.chess.com/tournament/live/arena/-960---0210-3705271",elenovo,2024
180,2,arena,blitz,chess,7,1983,2,"https://www.chess.com/tournament/live/arena/--0210-3704325",elenovo,2024
120,1,arena,lightning,chess,5,1666,14,"https://www.chess.com/tournament/live/arena/---0110-3702633",elenovo,2024
600,0,arena,standard,chess,4,2091,12,"https://www.chess.com/tournament/live/arena/---2609-3696521",elenovo,2024
120,1,arena,lightning,chess,8,1666,9,"https://www.chess.com/tournament/live/arena/---1607-3530143",elenovo,2024
180,2,arena,blitz,chess,8,1983,0,"https://www.chess.com/tournament/live/arena/--1107-3515453",elenovo,2024
120,1,arena,lightning,chess,6,1666,9,"https://www.chess.com/tournament/live/arena/---0907-3513521",elenovo,2024
300,0,arena,blitz,chess,6,1983,9,"https://www.chess.com/tournament/live/arena/---0807-3512445",elenovo,2024
120,1,arena,lightning,chess,1,1666,33,"https://www.chess.com/tournament/live/arena/-0207-3496767",elenovo,2024
180,2,arena,blitz,chess,7,1983,5,"https://www.chess.com/tournament/live/arena/---2706-3481849",elenovo,2024
120,1,arena,lightning,chess,5,1666,15,"https://www.chess.com/tournament/live/arena/-2506-3479831",elenovo,2024
