 event_type,(All),,
 game_time_class,(All),,
 game_type,(All),,
 year,2024,,
,,,
_____,____ _______,,_________  %
plamen196565,140,140,86%
Valyo1954,128,128,79%
beencho,103,103,63%
VladKisyov,97,97,60%
kristiankrumov,74,74,45%
nikokolev,69,69,42%
Unikat-Automat,65,65,40%
ivochimi,60,60,37%
panstoy,59,59,36%
MAUMYHATA,54,54,33%
strqsko,50,50,31%
ches12,48,48,29%
stefanakis90,46,46,28%
velikageleva,46,46,28%
IOMAGNUS,41,41,25%
bobsandri,40,40,25%
variate,31,31,19%
TrrrrrrVvvv,30,30,18%
Bisser,30,30,18%
tsankodimitirov,27,27,17%
CinderellaBG,27,27,17%
nikito65,25,25,15%
IvanIvanovAngelov,24,24,15%
andmom,22,22,13%
jokoloz,22,22,13%
donveto77,20,20,12%
VladMVR,18,18,11%
nenko76,17,17,10%
mitkoradevvarna,15,15,9%
KrasivMir,14,14,9%
lazar_stoev,14,14,9%
svecom1977,13,13,8%
stefan880,13,13,8%
van14,13,13,8%
5q5rova,13,13,8%
Psychotic_Waltz,13,13,8%
Tsenko88,12,12,7%
kosiu_drumev,12,12,7%
Brickcraft,12,12,7%
ResignAndTryAgain,12,12,7%
HORUS-SET,11,11,7%
Kriskata111,11,11,7%
3gama,11,11,7%
EasyMaria,11,11,7%
Milen21,10,10,6%
2balkan,10,10,6%
KhanRadevv,10,10,6%
ivan_delchev,10,10,6%
Czekov,9,9,6%
strepcho,9,9,6%
iv60,8,8,5%
CMchesscake,8,8,5%
Tsonyo,8,8,5%
Radostin71,8,8,5%
rosenoire,8,8,5%
Kolaroff,7,7,4%
NADAL-2013,7,7,4%
mminkov,7,7,4%
PavelKanazirev,7,7,4%
rumbild,7,7,4%
Siftifkar,7,7,4%
v_velev,6,6,4%
marquis_de_Carabas,6,6,4%
kingofkings95,6,6,4%
StRalch,6,6,4%
Casual_chessplayerBG,6,6,4%
AntonyDoytchev,6,6,4%
Rosback23New,6,6,4%
Sedea1,6,6,4%
Chris_Master_86,6,6,4%
Picumir,5,5,3%
Ivkony,5,5,3%
RoyalVVV,5,5,3%
kalojan,5,5,3%
IvayloAdanov,5,5,3%
GummyFox,5,5,3%
TurinTurambar84,5,5,3%
HENING7,5,5,3%
bobsandry,4,4,2%
angelhrostov,4,4,2%
kwazar33,4,4,2%
ATAKA,4,4,2%
Krasim1987,4,4,2%
krasimir74,4,4,2%
PaulBjork,4,4,2%
Gery-Ilieva,4,4,2%
Simeon664,4,4,2%
stoyaneft,4,4,2%
Mario_Iliev21,4,4,2%
adashec,3,3,2%
BATTLEANGELSTZ,3,3,2%
King960,3,3,2%
trol221022,3,3,2%
canew,3,3,2%
Bessarabets,3,3,2%
stanimirstamenov,3,3,2%
mazlumali,3,3,2%
miroslavmir,3,3,2%
danielviliev,3,3,2%
instruisto,3,3,2%
merzanov1981,3,3,2%
ygspasov,3,3,2%
pavlindemirev,3,3,2%
SLAYER-6,3,3,2%
megistoyanova,3,3,2%
kerpedge,2,2,1%
captain964,2,2,1%
deebug6996,2,2,1%
